;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;FILE_PATH;ORIG_CLASSES;CANNY_SSIM;CANNY_CLASSES;CANNY_EDGE_RATIO;CANNY_EDGE_INTENSITY;ROTATION_SSIM;ROTATION_CLASSES;BRIGHTNESS_SSIM;BRIGHTNESS_CLASSES;GAUSSIAN_SSIM;GAUSSIAN_CLASSES;BLUR_SSIM;BLUR_CLASSES;ORIGINAL_CLASS_LABEL;ORIGINAL_CONFIDENCE;CANNY_CLASS_LABEL;CANNY_CONFIDENCE;ROTATION_CLASS_LABEL;ROTATION_CONFIDENCE;BRIGHTNESS_CLASS_LABEL;BRIGHTNESS_CONFIDENCE;GAUSSIAN_CLASS_LABEL;GAUSSIAN_CONFIDENCE;BLUR_CLASS_LABEL;BLUR_CONFIDENCE
0;0;0;0;imagenette2/train/n01440764/n01440764_9973.JPEG;[['tench', 'n01440764', 99.99581575393677], ['barracouta', 'n02514041', 0.0038134156056912616], ['reel', 'n04067472', 0.00020137692899879767], ['ear', 'n13133613', 5.738799018217833e-05], ['coho', 'n02536864', 4.905772357233218e-05]];-0.969410363734926;[['umbrella', 'n04507155', 45.2806681394577], ['fountain', 'n03388043', 15.174070000648499], ['window_screen', 'n04589890', 11.090327054262161], ['chainlink_fence', 'n03000134', 5.553390085697174], ['padlock', 'n03874599', 2.9265146702528]];0.173584;255.0;3.960512844919317;[['tench', 'n01440764', 36.84245944023132], ['ear', 'n13133613', 21.007700264453888], ['cowboy_hat', 'n03124170', 13.208426535129547], ['corn', 'n12144580', 9.347616881132126], ['umbrella', 'n04507155', 3.263358771800995]];62.28040694594485;[['tench', 'n01440764', 99.84684586524963], ['barracouta', 'n02514041', 0.11665603378787637], ['reel', 'n04067472', 0.019822988542728126], ['box_turtle', 'n01669191', 0.003125801231362857], ['armadillo', 'n02454379', 0.0023137141397455707]];66.51692027404971;[['tench', 'n01440764', 99.20241832733154], ['barracouta', 'n02514041', 0.6442118436098099], ['ear', 'n13133613', 0.06421750877052546], ['American_alligator', 'n01698640', 0.04803182964678854], ['coho', 'n02536864', 0.016809877706691623]];56.31037613914825;[['tench', 'n01440764', 99.97960925102234], ['barracouta', 'n02514041', 0.016092730220407248], ['coho', 'n02536864', 0.0011101506061095279], ['ear', 'n13133613', 0.000927204564504791], ['zucchini', 'n07716358', 0.0006632969416386914]];n01440764;99.99581575393677;n04507155;45.2806681394577;n01440764;36.84245944023132;n01440764;99.84684586524963;n01440764;99.20241832733154;n01440764;99.97960925102234
1;1;1;1;imagenette2/train/n01440764/n01440764_9966.JPEG;[['tench', 'n01440764', 99.90963935852051], ['barracouta', 'n02514041', 0.06249314756132662], ['jackfruit', 'n07754684', 0.025010720128193498], ['gar', 'n02641379', 0.0009902390047500376], ['sturgeon', 'n02640242', 0.00047667990656918846]];1.5542221131606118;[['spider_web', 'n04275548', 48.43771457672119], ['lipstick', 'n03676483', 13.24363648891449], ['bubble', 'n09229709', 5.572459474205971], ['padlock', 'n03874599', 3.6038942635059357], ['comic_book', 'n06596364', 3.0413109809160233]];0.07249336870026525;255.0;10.493817817961466;[['tench', 'n01440764', 99.89284873008728], ['barracouta', 'n02514041', 0.05843405961059034], ['jackfruit', 'n07754684', 0.033149743103422225], ['eel', 'n02526121', 0.0029306189389899373], ['goldfish', 'n01443537', 0.002391953967162408]];62.64028070817464;[['tench', 'n01440764', 98.90689253807068], ['jackfruit', 'n07754684', 0.615306943655014], ['barracouta', 'n02514041', 0.32451245933771133], ['gar', 'n02641379', 0.03124214126728475], ['bolete', 'n13054560', 0.027258635964244604]];45.034914091254336;[['tench', 'n01440764', 99.93529915809631], ['barracouta', 'n02514041', 0.05584264290519059], ['gar', 'n02641379', 0.005178535502636805], ['goldfish', 'n01443537', 0.0005765359674114734], ['sturgeon', 'n02640242', 0.0005453042831504717]];70.40006750956819;[['tench', 'n01440764', 99.9182403087616], ['barracouta', 'n02514041', 0.06849917117506266], ['gar', 'n02641379', 0.006537410808959976], ['jackfruit', 'n07754684', 0.003987962918472476], ['sturgeon', 'n02640242', 0.0008169063221430406]];n01440764;99.90963935852051;n04275548;48.43771457672119;n01440764;99.89284873008728;n01440764;98.90689253807068;n01440764;99.93529915809631;n01440764;99.9182403087616
2;2;2;2;imagenette2/train/n01440764/n01440764_9939.JPEG;[['tench', 'n01440764', 99.53924417495728], ['barracouta', 'n02514041', 0.3743412671610713], ['coho', 'n02536864', 0.07237495156005025], ['gar', 'n02641379', 0.008289267134387046], ['sturgeon', 'n02640242', 0.004377231380203739]];-0.0118625534437436;[['spider_web', 'n04275548', 48.5965371131897], ['window_screen', 'n04589890', 9.423123300075531], ['padlock', 'n03874599', 7.14901015162468], ['lens_cap', 'n03657121', 3.4958213567733765], ['chainlink_fence', 'n03000134', 1.9637107849121094]];0.1525372137779349;255.0;6.08565231981697;[['poncho', 'n03980874', 50.71403384208679], ['solar_dish', 'n04258138', 9.953231364488602], ['hatchet', 'n03498962', 4.568953439593315], ['tench', 'n01440764', 3.5044677555561066], ['umbrella', 'n04507155', 3.0106989666819572]];66.29230513328453;[['tench', 'n01440764', 99.45964217185974], ['barracouta', 'n02514041', 0.4470018669962883], ['coho', 'n02536864', 0.06489462684839964], ['gar', 'n02641379', 0.01482143416069448], ['sturgeon', 'n02640242', 0.004179150710115209]];54.87436371856348;[['tench', 'n01440764', 96.00796699523926], ['barracouta', 'n02514041', 2.5737375020980835], ['coho', 'n02536864', 0.8436638861894608], ['Dungeness_crab', 'n01978287', 0.342913088388741], ['sturgeon', 'n02640242', 0.06896802806295455]];82.02868526308409;[['tench', 'n01440764', 99.64849948883057], ['barracouta', 'n02514041', 0.2582380548119545], ['coho', 'n02536864', 0.07861751946620643], ['gar', 'n02641379', 0.005944157601334155], ['sturgeon', 'n02640242', 0.005914493522141129]];n01440764;99.53924417495728;n04275548;48.5965371131897;n03980874;50.71403384208679;n01440764;99.45964217185974;n01440764;96.00796699523926;n01440764;99.64849948883057
3;3;3;3;imagenette2/train/n01440764/n01440764_993.JPEG;[['tench', 'n01440764', 78.14980745315552], ['barracouta', 'n02514041', 12.64197826385498], ['reel', 'n04067472', 3.1510356813669205], ['coho', 'n02536864', 1.485928986221552], ['gar', 'n02641379', 0.9156116284430027]];0.8753547581095638;[['spider_web', 'n04275548', 78.19696068763733], ['chainlink_fence', 'n03000134', 6.732072681188583], ['window_screen', 'n04589890', 3.910212963819504], ['starfish', 'n02317335', 2.833941765129566], ['lens_cap', 'n03657121', 1.1635655537247658]];0.16453866666666667;255.0;3.810893006200621;[['croquet_ball', 'n03134739', 11.796186864376068], ['cliff', 'n09246464', 8.221713453531265], ['balance_beam', 'n02777292', 3.7376288324594498], ['swimming_trunks', 'n04371430', 2.8560470789670944], ['stretcher', 'n04336792', 2.807229198515415]];65.67786047962156;[['tench', 'n01440764', 86.43873929977417], ['barracouta', 'n02514041', 3.9885785430669785], ['reel', 'n04067472', 1.179338525980711], ['iron', 'n03584829', 0.5414823535829782], ['mountain_tent', 'n03792972', 0.4907927941530943]];63.04506498583056;[['tench', 'n01440764', 25.330394506454468], ['mountain_tent', 'n03792972', 9.15413498878479], ['laptop', 'n03642806', 6.741497665643692], ['barracouta', 'n02514041', 4.041043668985367], ['coho', 'n02536864', 3.3317215740680695]];69.88061067108113;[['tench', 'n01440764', 63.448566198349], ['barracouta', 'n02514041', 11.289391666650772], ['mountain_tent', 'n03792972', 4.6250030398368835], ['reel', 'n04067472', 3.4431420266628265], ['coho', 'n02536864', 2.201598510146141]];n01440764;78.14980745315552;n04275548;78.19696068763733;n03134739;11.796186864376068;n01440764;86.43873929977417;n01440764;25.330394506454468;n01440764;63.448566198349
4;4;4;4;imagenette2/train/n01440764/n01440764_9929.JPEG;[['tench', 'n01440764', 99.89713430404663], ['barracouta', 'n02514041', 0.03059094597119838], ['tailed_frog', 'n01644900', 0.014761935744900256], ['platypus', 'n01873310', 0.014494593779090792], ['bullfrog', 'n01641577', 0.004701574653154239]];-0.3499536120620578;[['lens_cap', 'n03657121', 51.10307335853577], ['spider_web', 'n04275548', 29.982751607894897], ['sweatshirt', 'n04370456', 7.671914249658585], ['tub', 'n04493381', 1.1226844973862171], ['padlock', 'n03874599', 0.9680148214101791]];0.15101500441306268;255.0;9.068241184873644;[['tench', 'n01440764', 77.54120230674744], ['tailed_frog', 'n01644900', 6.655015796422958], ['ear', 'n13133613', 1.9966920837759972], ['tree_frog', 'n01644373', 1.4805793762207031], ['barracouta', 'n02514041', 1.2977666221559048]];71.7930020933913;[['tench', 'n01440764', 71.2803065776825], ['polecat', 'n02443114', 4.834530875086784], ['platypus', 'n01873310', 3.4577634185552597], ['slug', 'n01945685', 2.621936798095703], ['mongoose', 'n02137549', 1.1650619097054005]];53.8926024119509;[['tench', 'n01440764', 79.83725070953369], ['barracouta', 'n02514041', 6.99312686920166], ['armadillo', 'n02454379', 2.9004711657762527], ['tailed_frog', 'n01644900', 1.1270500719547272], ['electric_ray', 'n01496331', 0.9384117089211941]];80.08917957862494;[['tench', 'n01440764', 99.39402341842651], ['tailed_frog', 'n01644900', 0.15130266547203064], ['platypus', 'n01873310', 0.06309958989731967], ['armadillo', 'n02454379', 0.0317124358844012], ['bullfrog', 'n01641577', 0.030055493698455393]];n01440764;99.89713430404663;n03657121;51.10307335853577;n01440764;77.54120230674744;n01440764;71.2803065776825;n01440764;79.83725070953369;n01440764;99.39402341842651
5;5;5;5;imagenette2/train/n01440764/n01440764_9914.JPEG;[['tench', 'n01440764', 98.4343409538269], ['jean', 'n03594734', 0.13253394281491637], ['pug', 'n02110958', 0.12613048311322927], ['wool', 'n04599235', 0.11331676505506039], ['black-footed_ferret', 'n02443484', 0.09312480688095093]];2.1494868068876;[['spider_web', 'n04275548', 97.4609911441803], ['lens_cap', 'n03657121', 0.7898361422121525], ['lipstick', 'n03676483', 0.3565302584320307], ['padlock', 'n03874599', 0.3489827271550894], ['chainlink_fence', 'n03000134', 0.19492104183882475]];0.09704237288135593;255.0;10.877709352675833;[['wooden_spoon', 'n04597913', 28.32903563976288], ['gar', 'n02641379', 18.807122111320496], ['barracouta', 'n02514041', 7.81424343585968], ['Windsor_tie', 'n04591157', 7.502718269824982], ['seat_belt', 'n04162706', 5.130545422434807]];66.58865905211795;[['tench', 'n01440764', 82.944655418396], ['window_screen', 'n04589890', 2.6571793481707573], ['mosquito_net', 'n03788365', 2.266755700111389], ['strainer', 'n04332243', 1.911085844039917], ['jean', 'n03594734', 1.201656274497509]];48.20306734296498;[['jean', 'n03594734', 40.72036147117615], ['tench', 'n01440764', 6.831435859203339], ['black-footed_ferret', 'n02443484', 4.781178385019302], ['sock', 'n04254777', 4.507743194699287], ['clog', 'n03047690', 4.504629969596863]];48.668647650577526;[['tench', 'n01440764', 90.4259443283081], ['artichoke', 'n07718747', 1.3505457900464535], ['puffer', 'n02655020', 0.8545057848095894], ['earthstar', 'n13044778', 0.6589496042579412], ['loggerhead', 'n01664065', 0.6268981844186783]];n01440764;98.4343409538269;n04275548;97.4609911441803;n04597913;28.32903563976288;n01440764;82.944655418396;n03594734;40.72036147117615;n01440764;90.4259443283081
6;6;6;6;imagenette2/train/n01440764/n01440764_9898.JPEG;[['tench', 'n01440764', 99.77366924285889], ['barracouta', 'n02514041', 0.18867498729377985], ['coho', 'n02536864', 0.027089600916951895], ['gar', 'n02641379', 0.0018182527128374204], ['sturgeon', 'n02640242', 0.0014083275345910806]];0.7355620741805745;[['digital_clock', 'n03196217', 17.091171443462372], ['lipstick', 'n03676483', 9.121225774288177], ['nematode', 'n01930112', 7.40174725651741], ['web_site', 'n06359193', 5.710667744278908], ['envelope', 'n03291819', 5.054530501365662]];0.0699;255.0;16.099052728733188;[['envelope', 'n03291819', 24.61373507976532], ['binder', 'n02840245', 12.195226550102234], ['book_jacket', 'n07248320', 10.336577892303467], ['Windsor_tie', 'n04591157', 8.085204660892487], ['tench', 'n01440764', 5.465935170650482]];76.96735897701899;[['tench', 'n01440764', 66.41265153884888], ['redbone', 'n02090379', 6.364324688911438], ['barracouta', 'n02514041', 4.861075058579445], ['web_site', 'n06359193', 3.8045648485422134], ['vizsla', 'n02100583', 2.792101539671421]];45.9958221051714;[['assault_rifle', 'n02749479', 87.08823323249817], ['harmonica', 'n03494278', 2.1367864683270454], ['rifle', 'n04090263', 1.0896217077970505], ['revolver', 'n04086273', 0.9804638102650642], ['tench', 'n01440764', 0.9031189605593681]];89.24157808335413;[['tench', 'n01440764', 98.4941303730011], ['barracouta', 'n02514041', 1.20089715346694], ['gar', 'n02641379', 0.05792095325887203], ['reel', 'n04067472', 0.05555947427637875], ['coho', 'n02536864', 0.03546448133420199]];n01440764;99.77366924285889;n03196217;17.091171443462372;n03291819;24.61373507976532;n01440764;66.41265153884888;n02749479;87.08823323249817;n01440764;98.4941303730011
7;7;7;7;imagenette2/train/n01440764/n01440764_9893.JPEG;[['tench', 'n01440764', 99.8576283454895], ['eel', 'n02526121', 0.021754838235210627], ['coho', 'n02536864', 0.017291767289862037], ['bolete', 'n13054560', 0.013070972636342049], ['sea_cucumber', 'n02321529', 0.012762997357640415]];0.8378912796398954;[['spider_web', 'n04275548', 62.220925092697144], ['lens_cap', 'n03657121', 16.143982112407684], ['window_screen', 'n04589890', 8.41238647699356], ['volcano', 'n09472597', 2.8812866657972336], ['fountain', 'n03388043', 1.5839844942092896]];0.14540394973070017;255.0;7.676639261812001;[['tench', 'n01440764', 83.09270143508911], ['sturgeon', 'n02640242', 6.220812350511551], ['rugby_ball', 'n04118538', 1.5069205313920975], ['bolete', 'n13054560', 1.4019466005265713], ['Dungeness_crab', 'n01978287', 1.389042753726244]];65.5477118402569;[['tench', 'n01440764', 99.26572442054749], ['swing', 'n04371774', 0.13341207522898912], ['coho', 'n02536864', 0.0910019502043724], ['jackfruit', 'n07754684', 0.06272736936807632], ['gar', 'n02641379', 0.053146277787163854]];56.11611986599636;[['tench', 'n01440764', 99.37165379524231], ['coho', 'n02536864', 0.16140372026711702], ['gar', 'n02641379', 0.1295899273827672], ['sturgeon', 'n02640242', 0.05583966849371791], ['eel', 'n02526121', 0.051150895887985826]];84.41486260156856;[['tench', 'n01440764', 99.59372282028198], ['swing', 'n04371774', 0.14110959600657225], ['zucchini', 'n07716358', 0.07356200949288905], ['bolete', 'n13054560', 0.026135827647522092], ['eel', 'n02526121', 0.02369182911934331]];n01440764;99.8576283454895;n04275548;62.220925092697144;n01440764;83.09270143508911;n01440764;99.26572442054749;n01440764;99.37165379524231;n01440764;99.59372282028198
8;8;8;8;imagenette2/train/n01440764/n01440764_9885.JPEG;[['tench', 'n01440764', 99.94418025016785], ['barracouta', 'n02514041', 0.0552021199837327], ['gar', 'n02641379', 0.00012855134627898224], ['sturgeon', 'n02640242', 3.94913598711355e-05], ['eel', 'n02526121', 3.5988756508231745e-05]];1.361627038960472;[['spider_web', 'n04275548', 99.111008644104], ['padlock', 'n03874599', 0.24447289761155844], ['window_screen', 'n04589890', 0.17991092754527926], ['handkerchief', 'n03485794', 0.04966128617525101], ['chainlink_fence', 'n03000134', 0.03738241794053465]];0.12385833333333333;255.0;8.779071987102032;[['tench', 'n01440764', 99.54989552497864], ['barracouta', 'n02514041', 0.4385593347251415], ['eel', 'n02526121', 0.0015282696040230803], ['gar', 'n02641379', 0.0009355382644571364], ['sturgeon', 'n02640242', 0.0006707647116854787]];65.12570510960437;[['tench', 'n01440764', 99.9769389629364], ['barracouta', 'n02514041', 0.019808366778306663], ['jackfruit', 'n07754684', 0.0007701530194026418], ['squirrel_monkey', 'n02494079', 0.0005636387413687771], ['spider_monkey', 'n02493793', 0.00022615458874497563]];54.00071965292664;[['tench', 'n01440764', 99.9919056892395], ['barracouta', 'n02514041', 0.008031664037844166], ['coho', 'n02536864', 2.5131782876997022e-05], ['jackfruit', 'n07754684', 1.1955569334531901e-05], ['gar', 'n02641379', 4.12211171862964e-06]];73.31258701364915;[['tench', 'n01440764', 99.99138116836548], ['barracouta', 'n02514041', 0.008288477692985907], ['gar', 'n02641379', 3.550267990704015e-05], ['jackfruit', 'n07754684', 3.307402494101552e-05], ['reel', 'n04067472', 2.3351225308942958e-05]];n01440764;99.94418025016785;n04275548;99.111008644104;n01440764;99.54989552497864;n01440764;99.9769389629364;n01440764;99.9919056892395;n01440764;99.99138116836548
9;9;9;9;imagenette2/train/n01440764/n01440764_9875.JPEG;[['tench', 'n01440764', 88.56298327445984], ['eel', 'n02526121', 5.341127887368202], ['banana', 'n07753592', 1.3329549692571163], ['barracouta', 'n02514041', 0.8435954339802265], ['pineapple', 'n07753275', 0.46220459043979645]];2.936793618233713;[['spider_web', 'n04275548', 83.47704410552979], ['chain', 'n02999410', 8.618640899658203], ['abaya', 'n02667093', 5.044392496347427], ['garden_spider', 'n01773797', 0.726714264601469], ['barn_spider', 'n01773549', 0.4550694487988949]];0.034072265625;255.0;20.41556448291411;[['eel', 'n02526121', 36.14235520362854], ['tench', 'n01440764', 35.7970267534256], ['coho', 'n02536864', 5.618029087781906], ['American_chameleon', 'n01682714', 5.188261345028877], ['butcher_shop', 'n02927161', 4.270850121974945]];63.77197420911303;[['tench', 'n01440764', 73.79202842712402], ['barracouta', 'n02514041', 17.441371083259583], ['coho', 'n02536864', 7.641502469778061], ['gar', 'n02641379', 0.4993312992155552], ['eel', 'n02526121', 0.3656222019344568]];29.14957918769944;[['tree_frog', 'n01644373', 33.43926668167114], ['tench', 'n01440764', 29.280760884284973], ['American_chameleon', 'n01682714', 5.9551902115345], ['ear', 'n13133613', 5.061262100934982], ['book_jacket', 'n07248320', 4.97702918946743]];93.40951546703806;[['tench', 'n01440764', 87.80878782272339], ['eel', 'n02526121', 4.526123031973839], ['banana', 'n07753592', 3.819689154624939], ['barracouta', 'n02514041', 0.6559242494404316], ['artichoke', 'n07718747', 0.5466082133352757]];n01440764;88.56298327445984;n04275548;83.47704410552979;n02526121;36.14235520362854;n01440764;73.79202842712402;n01644373;33.43926668167114;n01440764;87.80878782272339
